date,no_of_deals,total_funding
2023-08-05,11,66
2023-07-29,20,51
2023-07-22,19,113
2023-07-15,22,119
2023-07-08,19,172
2023-06-24,22,135
2023-06-17,25,220
2023-06-10,23,134
2023-06-03,14,209
2023-05-27,18,227
2023-05-20,18,165
2023-05-13,25,341
2023-05-06,23,177
2023-04-22,80,80
2023-04-15,27,245
2023-04-09,20,565
2023-03-25,15,195
2023-03-20,23,857
2023-03-11,14,171.3
2023-02-25,16,215
2023-02-18,21,313
2023-02-11,30,292
2023-02-04,13,87
2023-01-28,16,120
2023-01-21,28,525
2023-01-14,36,216
2023-01-07,16,273
2022-12-31,14,192
2022-12-24,25,481.1
2022-12-17,26,208
2022-12-10,27,253
2022-12-03,29,233.2
2022-11-26,26,236.3
2022-11-19,32,335
2022-11-12,26,216
2022-11-05,24,455.2
2022-10-29,15,293.3
2022-10-22,33,509.4
2022-10-15,27,103
2022-10-08,19,183.2
2022-10-01,27,210
2022-09-24,24,220
2022-09-17,36,246
2022-09-10,36,231
2022-09-03,23,275
2022-08-27,24,142.2
2022-08-20,26,147.4
2022-08-13,27,419
2022-08-06,29,174
2022-07-30,30,172
2022-07-23,29,138
2022-07-16,33,461
2022-07-09,25,89.69
2022-07-02,19,275.38
2022-06-25,31,980
2022-06-18,38,906.44
2022-06-11,37,600.38
2022-06-04,33,525.81
2022-05-28,30,251
2022-05-21,28,438.07
2022-05-14,39,395.7
2022-05-07,29,676.2
2022-04-30,43,329.5
2022-04-23,37,564.44
2022-04-16,37,806.21
2022-04-09,27,955.14
2022-04-02,33,100
2022-03-26,38,600
2022-03-19,21,428.1
2022-03-12,32,800
2022-03-05,41,402
2022-02-19,38,797
2022-02-12,5,5
2022-02-05,6,6
2022-01-29,43,1701.8
2022-01-22,60,912.72
2022-01-15,53,773.78
2022-01-08,40,1225.84
2022-01-01,25,592
2021-12-11,51,820
2021-12-04,36,486.3
2021-11-27,51,1664
2021-11-20,42,417
2021-11-13,33,1842
2021-11-06,11,109
2021-10-30,48,1185
2021-10-23,31,790
2021-10-16,39,902
2021-10-09,39,1166
2021-10-02,50,1506
2021-09-25,46,597
2021-09-18,40,513
2021-09-11,47,768.5
2021-09-04,27,106
2021-08-28,33,236.1
2021-08-21,41,1061
2021-08-14,27,1555
2021-08-07,38,1392
2021-07-31,43,814
2021-07-24,35,1076
2021-07-17,40,1010
2021-07-10,34,1331
2021-07-03,40,471
2021-06-26,36,221
2021-06-19,24,784
2021-06-12,33,380
2021-06-05,36,554
2021-05-22,22,600
2021-05-15,19,48
2021-05-08,15,74
2021-05-01,12,584
2021-04-24,32,561
2021-04-17,28,1088
2021-04-10,36,2659
2021-04-03,19,714
2021-03-27,31,656
2021-03-20,24,213
2021-03-13,19,196
2021-03-06,20,75
2021-02-27,15,390
2021-02-20,27,195
2021-02-13,30,320
2021-02-06,17,320
2021-01-30,20,72
2021-01-23,23,118
2021-01-16,21,122
2021-01-09,22,497
2021-01-02,11,8.3
2020-12-26,12,345
2020-12-19,21,299
2020-12-05,24,134
2020-11-28,24,339
2020-11-21,13,96
2020-11-14,21,352
2020-11-07,23,107
2020-10-31,24,212
2020-10-24,17,24
2020-10-17,19,216
2020-10-10,20,96
2020-10-03,16,76
2020-09-26,12,118
2020-09-19,18,411
2020-09-12,19,674
2020-09-05,23,566
2020-08-29,20,165
2020-08-22,18,84
2020-08-15,12,24
2020-08-08,8,35
2020-08-01,15,145
2020-07-25,15,131
2020-07-18,16,125
2020-07-11,17,93
2020-07-04,15,46.7
2020-06-27,13,60
2020-06-20,18,36
2020-06-13,13,187
2020-06-06,13,40
2020-05-30,9,38
2020-05-23,14,108
2020-05-16,14,65
2020-05-09,13,42
2020-05-02,15,62
2020-04-25,13,63
2020-04-18,13,119
2020-04-11,11,184
2020-04-04,13,122
2020-03-28,8,5.7
2020-03-21,16,960
2020-03-14,10,22
2020-03-07,16,123
2020-02-29,16,139
2020-02-22,20,394
2020-02-15,20,148
2020-02-08,14,287
2020-02-01,15,192
2020-01-25,18,350
2020-01-18,18,137
2020-01-11,22,564
2020-01-04,7,29
2019-12-28,10,77
2019-12-21,23,381
2019-12-14,27,250
2019-12-07,12,178
2019-11-30,15,1308
2019-11-23,20,146
2019-11-16,14,30
2019-11-09,17,205
2019-11-02,11,210
2019-10-26,16,46
2019-10-19,20,278
2019-10-12,14,62
2019-10-05,18,500
2019-09-28,23,138
2019-09-21,18,248
2019-09-14,16,243
2019-09-07,16,146
2019-08-31,15,615
2019-08-24,15,219
2019-08-17,18,352
2019-08-10,11,125
2019-08-03,14,325
2019-07-27,17,209
2019-07-20,14,148
2019-07-13,20,340
2019-07-06,19,340
2019-06-22,17,60
2019-06-15,11,60
2019-05-04,17,166
2019-03-16,22,244
2019-03-02,16,194
2019-02-23,12,121
2019-02-16,7,122
